SampleID,HC343,HC345,HC348,HC354,HC361,HC363,HC364,HC367,HC370,HC374,HC375,HC376,HC383,HC384,HC387,HC388,HC389,HC391,HC392,HC394,HC396,HC455,HC456,HC465,HC466,HC467,HC511,HC515,HC524,HC525,HC537,HC538,HC539,HC543,HC551,HC609,HC618,HC628,HC638,HC696,HC716,HC720,HC721,HC722,HC733,HC769,HC770,HC773,HC778,HC786,KR00064,KR00065,KR00070,KR00080,KR00081,KR00085,KR00098,KR00099,KR00102,KR00105,KR00113,KR00144,KR00167,KR00168,KR00182,KR00192,KR00198,KR00199,KR00203,KR00207,KR00211,KR00216,KR00219,KR00220,KR00235,KR00266,KR00270,KR00304,KR00305,KR00307,KR00308,KR00312,KR00316,KR00349,KR00359,KR00361,KR00362,KR00364,KR00386,KR00388,KR00389,KR00402,KR00422,KR00423,KR00424,KR00448,KR00449,KR00450,KR00458,KR00488
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_congolense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae,0,0,0,0,0,0,0,0.156951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32782,0,0,0,0,0,0,0.0609484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996297,0,0,0,0,0,0,0,0.218574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_olleyae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_ruminantium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii,0.0478489,0,0,0,0,0,0,884.259,0,0,0,13.5843,0,2.7431,5271.33,0,0,0,0.0732618,7985.55,0,0,0,0,0.151666,0,29865.3,0,3056.12,0.271554,0,0.17338,2.77755,0,21.7142,0,0,0,0.287409,0,0,4649.28,124.3,403.14,0,0,0,0.0499378,0.0424089,0,5.3623,0,0.0756187,0,0,0,0,0,0,0,0.093766,0.121946,0.179609,0,0,1.4087,0,1.28205,1071.45,0,0.231018,0.0383499,0,0.216965,0,0,261.03,0,1726.94,0,0.154631,0,0,4165.29,179.668,0.0601431,5.22876,7336.27,0.445157,0,0,0,9246.67,0,0.205012,12991.5,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_sp._TLL-48-HuF1,0,0,0,0,0,0,0,7.84753,0,0,0,0.294244,0,21.1967,77.3484,0,0,0,0,26.9897,0,0,0,0,0,0,4370.38,0,53.54,0,0,0,15.0314,0,0.159664,0,0,0,0,0,0,50.6209,902.596,4.08095,0,0,0,0,0,0,44.2537,0,0,0,4.72517,0,0,0,0,0,0,0,0,0,0,5.7287,0,9.324,5.05475,0,0,0,0,0.216965,0,0,1679.2,0,20.1124,0.258274,0,0,0,38.8989,1298.99,0.0601431,0,199.947,0,0,0,0,71.9114,0,0,187.434,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_sp._YE315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43763,0,0.10581,0,0,0,0,0,0.0532212,0,0,0,0,0,0,1.26674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442799,0,0.389271,0,0,0,0,1.43186,0.76501,0,0,0,0,0,0,0,1.21199,0,0,0.203899,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_sp._BMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79162,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_sp._ISO3-F5,0,0,0,0,0,0,0,0.0784753,0,0,0,0,0,0,0,0,0,0,0,1.52167,0,0,0,0,0,0,0,0,0.10581,0,0,0,0,0,0,0,0,0,0,0,0,0.146162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108726,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
